ccode;cname;year;ccode_qog;cname_qog;ccodealp;ccodecow;cname_year;ccodealp_year;wdi_povgap365
8,00;Albania;1996;8;Albania;ALB;339,00;Albania 1996;ALB96;1,60
8,00;Albania;2002;8;Albania;ALB;339,00;Albania 2002;ALB02;2,30
8,00;Albania;2005;8;Albania;ALB;339,00;Albania 2005;ALB05;1,40
8,00;Albania;2008;8;Albania;ALB;339,00;Albania 2008;ALB08;0,50
8,00;Albania;2012;8;Albania;ALB;339,00;Albania 2012;ALB12;1,00
8,00;Albania;2014;8;Albania;ALB;339,00;Albania 2014;ALB14;2,10
8,00;Albania;2015;8;Albania;ALB;339,00;Albania 2015;ALB15;0,60
8,00;Albania;2016;8;Albania;ALB;339,00;Albania 2016;ALB16;0,70
8,00;Albania;2017;8;Albania;ALB;339,00;Albania 2017;ALB17;0,70
8,00;Albania;2018;8;Albania;ALB;339,00;Albania 2018;ALB18;0,50
8,00;Albania;2019;8;Albania;ALB;339,00;Albania 2019;ALB19;0,20
8,00;Albania;2020;8;Albania;ALB;339,00;Albania 2020;ALB20;0,20
12,00;Algeria;1988;12;Algeria;DZA;615,00;Algeria 1988;DZA88;6,90
12,00;Algeria;1995;12;Algeria;DZA;615,00;Algeria 1995;DZA95;6,60
12,00;Algeria;2011;12;Algeria;DZA;615,00;Algeria 2011;DZA11;0,40
24,00;Angola;2000;24;Angola;AGO;540,00;Angola 2000;AGO00;17,70
24,00;Angola;2008;24;Angola;AGO;540,00;Angola 2008;AGO08;13,20
24,00;Angola;2018;24;Angola;AGO;540,00;Angola 2018;AGO18;24,50
31,00;Azerbaijan;1995;31;Azerbaijan;AZE;373,00;Azerbaijan 1995;AZE95;12,30
31,00;Azerbaijan;2001;31;Azerbaijan;AZE;373,00;Azerbaijan 2001;AZE01;7,50
31,00;Azerbaijan;2002;31;Azerbaijan;AZE;373,00;Azerbaijan 2002;AZE02;0,30
31,00;Azerbaijan;2003;31;Azerbaijan;AZE;373,00;Azerbaijan 2003;AZE03;0,40
31,00;Azerbaijan;2004;31;Azerbaijan;AZE;373,00;Azerbaijan 2004;AZE04;0,10
31,00;Azerbaijan;2005;31;Azerbaijan;AZE;373,00;Azerbaijan 2005;AZE05;0,00
32,00;Argentina;1980;32;Argentina;ARG;160,00;Argentina 1980;ARG80;0,00
32,00;Argentina;1986;32;Argentina;ARG;160,00;Argentina 1986;ARG86;1,10
32,00;Argentina;1987;32;Argentina;ARG;160,00;Argentina 1987;ARG87;1,10
32,00;Argentina;1991;32;Argentina;ARG;160,00;Argentina 1991;ARG91;1,10
32,00;Argentina;1992;32;Argentina;ARG;160,00;Argentina 1992;ARG92;1,80
32,00;Argentina;1993;32;Argentina;ARG;160,00;Argentina 1993;ARG93;2,00
32,00;Argentina;1994;32;Argentina;ARG;160,00;Argentina 1994;ARG94;2,00
32,00;Argentina;1995;32;Argentina;ARG;160,00;Argentina 1995;ARG95;3,50
32,00;Argentina;1996;32;Argentina;ARG;160,00;Argentina 1996;ARG96;4,00
32,00;Argentina;1997;32;Argentina;ARG;160,00;Argentina 1997;ARG97;3,50
32,00;Argentina;1998;32;Argentina;ARG;160,00;Argentina 1998;ARG98;3,70
32,00;Argentina;1999;32;Argentina;ARG;160,00;Argentina 1999;ARG99;3,90
32,00;Argentina;2000;32;Argentina;ARG;160,00;Argentina 2000;ARG00;4,70
32,00;Argentina;2001;32;Argentina;ARG;160,00;Argentina 2001;ARG01;7,30
32,00;Argentina;2002;32;Argentina;ARG;160,00;Argentina 2002;ARG02;10,40
32,00;Argentina;2003;32;Argentina;ARG;160,00;Argentina 2003;ARG03;4,80
32,00;Argentina;2004;32;Argentina;ARG;160,00;Argentina 2004;ARG04;3,50
32,00;Argentina;2005;32;Argentina;ARG;160,00;Argentina 2005;ARG05;2,70
32,00;Argentina;2006;32;Argentina;ARG;160,00;Argentina 2006;ARG06;2,10
32,00;Argentina;2007;32;Argentina;ARG;160,00;Argentina 2007;ARG07;1,70
32,00;Argentina;2008;32;Argentina;ARG;160,00;Argentina 2008;ARG08;1,60
32,00;Argentina;2009;32;Argentina;ARG;160,00;Argentina 2009;ARG09;1,40
32,00;Argentina;2010;32;Argentina;ARG;160,00;Argentina 2010;ARG10;0,90
32,00;Argentina;2011;32;Argentina;ARG;160,00;Argentina 2011;ARG11;0,70
32,00;Argentina;2012;32;Argentina;ARG;160,00;Argentina 2012;ARG12;0,80
32,00;Argentina;2013;32;Argentina;ARG;160,00;Argentina 2013;ARG13;0,70
32,00;Argentina;2014;32;Argentina;ARG;160,00;Argentina 2014;ARG14;0,70
32,00;Argentina;2016;32;Argentina;ARG;160,00;Argentina 2016;ARG16;0,80
32,00;Argentina;2017;32;Argentina;ARG;160,00;Argentina 2017;ARG17;0,70
32,00;Argentina;2018;32;Argentina;ARG;160,00;Argentina 2018;ARG18;1,00
32,00;Argentina;2019;32;Argentina;ARG;160,00;Argentina 2019;ARG19;1,10
32,00;Argentina;2020;32;Argentina;ARG;160,00;Argentina 2020;ARG20;1,20
32,00;Argentina;2021;32;Argentina;ARG;160,00;Argentina 2021;ARG21;0,90
32,00;Argentina;2022;32;Argentina;ARG;160,00;Argentina 2022;ARG22;0,80
36,00;Australia;1981;36;Australia;AUS;900,00;Australia 1981;AUS81;0,70
36,00;Australia;1985;36;Australia;AUS;900,00;Australia 1985;AUS85;0,80
36,00;Australia;1989;36;Australia;AUS;900,00;Australia 1989;AUS89;0,60
36,00;Australia;1995;36;Australia;AUS;900,00;Australia 1995;AUS95;0,80
36,00;Australia;2001;36;Australia;AUS;900,00;Australia 2001;AUS01;0,70
36,00;Australia;2003;36;Australia;AUS;900,00;Australia 2003;AUS03;0,90
36,00;Australia;2004;36;Australia;AUS;900,00;Australia 2004;AUS04;0,50
36,00;Australia;2008;36;Australia;AUS;900,00;Australia 2008;AUS08;0,40
36,00;Australia;2010;36;Australia;AUS;900,00;Australia 2010;AUS10;0,40
36,00;Australia;2014;36;Australia;AUS;900,00;Australia 2014;AUS14;0,40
36,00;Australia;2016;36;Australia;AUS;900,00;Australia 2016;AUS16;0,40
36,00;Australia;2018;36;Australia;AUS;900,00;Australia 2018;AUS18;0,40
40,00;Austria;1994;40;Austria;AUT;305,00;Austria 1994;AUT94;0,10
40,00;Austria;1995;40;Austria;AUT;305,00;Austria 1995;AUT95;0,10
40,00;Austria;1996;40;Austria;AUT;305,00;Austria 1996;AUT96;0,00
40,00;Austria;1997;40;Austria;AUT;305,00;Austria 1997;AUT97;0,10
40,00;Austria;1998;40;Austria;AUT;305,00;Austria 1998;AUT98;0,10
40,00;Austria;1999;40;Austria;AUT;305,00;Austria 1999;AUT99;0,10
40,00;Austria;2000;40;Austria;AUT;305,00;Austria 2000;AUT00;0,10
40,00;Austria;2003;40;Austria;AUT;305,00;Austria 2003;AUT03;0,30
40,00;Austria;2004;40;Austria;AUT;305,00;Austria 2004;AUT04;0,10
40,00;Austria;2005;40;Austria;AUT;305,00;Austria 2005;AUT05;0,10
40,00;Austria;2006;40;Austria;AUT;305,00;Austria 2006;AUT06;0,10
40,00;Austria;2007;40;Austria;AUT;305,00;Austria 2007;AUT07;0,30
40,00;Austria;2008;40;Austria;AUT;305,00;Austria 2008;AUT08;0,40
40,00;Austria;2009;40;Austria;AUT;305,00;Austria 2009;AUT09;0,50
40,00;Austria;2010;40;Austria;AUT;305,00;Austria 2010;AUT10;0,40
40,00;Austria;2011;40;Austria;AUT;305,00;Austria 2011;AUT11;0,40
40,00;Austria;2012;40;Austria;AUT;305,00;Austria 2012;AUT12;0,50
40,00;Austria;2013;40;Austria;AUT;305,00;Austria 2013;AUT13;0,30
40,00;Austria;2014;40;Austria;AUT;305,00;Austria 2014;AUT14;0,20
40,00;Austria;2015;40;Austria;AUT;305,00;Austria 2015;AUT15;0,60
40,00;Austria;2016;40;Austria;AUT;305,00;Austria 2016;AUT16;0,60
40,00;Austria;2017;40;Austria;AUT;305,00;Austria 2017;AUT17;0,30
40,00;Austria;2018;40;Austria;AUT;305,00;Austria 2018;AUT18;0,50
40,00;Austria;2019;40;Austria;AUT;305,00;Austria 2019;AUT19;0,50
40,00;Austria;2020;40;Austria;AUT;305,00;Austria 2020;AUT20;0,70
40,00;Austria;2021;40;Austria;AUT;305,00;Austria 2021;AUT21;0,40
50,00;Bangladesh;1983;50;Bangladesh;BGD;771,00;Bangladesh 1983;BGD83;31,70
50,00;Bangladesh;1985;50;Bangladesh;BGD;771,00;Bangladesh 1985;BGD85;27,80
50,00;Bangladesh;1988;50;Bangladesh;BGD;771,00;Bangladesh 1988;BGD88;33,20
50,00;Bangladesh;1991;50;Bangladesh;BGD;771,00;Bangladesh 1991;BGD91;33,30
50,00;Bangladesh;1995;50;Bangladesh;BGD;771,00;Bangladesh 1995;BGD95;28,10
50,00;Bangladesh;2000;50;Bangladesh;BGD;771,00;Bangladesh 2000;BGD00;27,00
